Sub_Area,price_list,built_year_list,floor_list,bedroom_list,bathroom_list,area_list,distance_to_transport_list,facilities_list
พร้อมพงษ์,19500000,2013.0,14.0,2,2,82.03,190.0,7.0
พร้อมพงษ์,13000000,2020.0,8.0,2,2,93.1,1160.0,8.0
สวนหลวง,2200000,2014.0,7.0,1,1,33.0,1710.0,5.0
บางหว้า,4755000,2020.0,24.0,2,2,72.0,250.0,10.0
อโศก,6900000,2018.0,23.0,1,1,32.0,360.0,10.0
แยกบางโพ,7000000,2017.0,21.0,1,1,46.0,180.0,7.0
บางนาเหนือ,2090000,2015.0,4.0,1,1,22.0,610.0,9.0
บุคคโล,4100000,2010.0,16.0,2,2,65.0,530.0,4.0
สุขุมวิท,11584000,2021.0,25.0,2,1,45.0,1070.0,10.0
พร้อมพงษ์,15000000,2013.0,8.0,2,2,76.0,190.0,9.0
บางนาเหนือ,3500000,2010.0,11.0,1,1,35.0,100.0,9.0
ทองหล่อ,4060000,2018.0,8.0,1,1,29.0,100.0,10.0
จอมพล,25500000,2014.0,8.0,3,4,202.0,500.0,10.0
พระโขนงใต้,4100000,2010.0,16.0,1,1,34.0,370.0,8.0
พร้อมพงษ์,14500000,1994.0,18.0,3,3,223.0,630.0,8.0
จอมพล,4200000,2014.0,4.0,2,1,50.0,830.0,4.0
สุรวงศ์,16500000,2016.0,24.0,2,2,71.0,400.0,10.0
พร้อมพงษ์,11800000,2012.0,7.0,1,1,74.0,700.0,8.0
พระโขนงเหนือ,3580000,2020.0,18.0,1,1,24.0,530.0,10.0
สุขุมวิท,4950000,2007.0,17.0,1,1,56.0,420.0,8.0
สุขุมวิท,5600000,2017.0,11.0,1,1,30.0,1160.0,10.0
บางกะปิ,12000000,2017.0,17.0,3,3,96.0,1820.0,9.0
พร้อมพงษ์,8300000,1994.0,13.0,2,2,98.0,1260.0,5.0
ทุ่งมหาเมฆ,17500000,2013.0,8.0,2,2,113.0,1600.0,3.0
ลาดยาว,2990000,2016.0,15.0,1,1,30.5,1590.0,9.0
บางกะปิ,6490000,2019.0,22.0,1,2,65.5,1780.0,10.0
สุขุมวิท,9500000,2011.0,19.0,2,2,80.0,220.0,10.0
มักกะสัน,6050000,2012.0,22.0,1,1,47.0,570.0,10.0
ยานนาวา,5400000,2015.0,21.0,1,1,35.0,330.0,10.0
พระโขนงใต้,5940000,2014.0,15.0,2,2,53.0,520.0,8.0
มักกะสัน,6900000,2013.0,17.0,1,1,58.0,540.0,7.0
พระราม 9,14900000,2015.0,22.0,3,2,99.0,510.0,9.0
จอมพล,3980000,2010.0,18.0,1,1,39.0,440.0,9.0
มักกะสัน,6050000,2012.0,22.0,1,1,47.0,570.0,10.0
สุขุมวิท,10500000,2012.0,4.0,2,2,65.0,480.0,9.0
ชิดลม,16500000,2017.0,20.0,1,1,44.0,310.0,8.0
มักกะสัน,13000000,2015.0,14.0,2,2,63.5,560.0,7.0
จอมพล,3300000,2013.0,4.0,1,1,38.0,350.0,7.0
ทองหล่อ,33900000,2019.0,15.0,2,2,125.0,1600.0,10.0
พร้อมพงษ์,11000000,2012.0,7.0,1,1,74.0,700.0,10.0
สุขุมวิท,5500000,2014.0,4.0,1,1,40.0,320.0,5.0
บางกะปิ,3000000,2015.0,14.0,1,1,38.0,1150.0,10.0
ลาดยาว,4590000,2019.0,5.0,1,1,31.52,1730.0,10.0
ดินแดง,2950000,2013.0,27.0,1,1,31.0,1110.0,7.0
บางกะปิ,4200000,2009.0,18.0,1,1,35.0,330.0,4.0
พร้อมพงษ์,8100000,1997.0,12.0,1,1,85.0,320.0,5.0
พร้อมพงษ์,10500000,2013.0,10.0,1,1,42.0,200.0,6.0
ทองหล่อ,4600000,2017.0,12.0,1,1,24.0,350.0,10.0
พระโขนงใต้,5090000,2020.0,13.0,1,1,40.0,380.0,10.0
บางจากภาษีเจริญ,3110000,2009.0,8.0,1,1,41.82,430.0,8.0
บางขุนศรี,2700000,2015.0,16.0,1,1,22.65,770.0,10.0
ลาดยาว,4590000,2019.0,5.0,1,1,31.52,1730.0,10.0
สุรศักดิ์,5700000,2014.0,15.0,2,1,53.0,90.0,2.0
พร้อมพงษ์,9000000,2009.0,14.0,1,1,52.0,600.0,10.0
สุขุมวิท,19000000,2014.0,8.0,2,2,84.0,380.0,8.0
อโศก,11000000,2018.0,28.0,1,1,47.0,520.0,10.0
พระโขนงใต้,4950000,2014.0,3.0,2,2,54.0,520.0,6.0
แบริ่ง,2700000,2021.0,7.0,1,1,30.48,30.0,5.0
สุขุมวิท,7690000,2015.0,37.0,1,1,52.0,1200.0,7.0
พระราม 9,6900000,2018.0,28.0,1,1,35.0,330.0,10.0
พร้อมพงษ์,8500000,2009.0,21.0,1,1,48.0,750.0,10.0
พร้อมพงษ์,27500000,2014.0,4.0,3,3,272.0,940.0,3.0
บางจาก,9000000,2014.0,6.0,3,2,75.0,460.0,2.0
วงเวียนใหญ่,6300000,2014.0,9.0,1,1,47.91,70.0,10.0
ทองหล่อ,4250000,2017.0,16.0,1,1,24.0,350.0,10.0
บางจาก,7250000,2018.0,12.0,2,2,52.0,180.0,8.0
สามย่าน,7800000,2018.0,17.0,1,1,33.71,150.0,5.0
บางจากภาษีเจริญ,3300000,2009.0,4.0,1,1,34.0,240.0,6.0
พร้อมพงษ์,13100000,2009.0,27.0,1,1,67.0,780.0,6.0
พร้อมพงษ์,8800000,2010.0,18.0,1,1,58.0,500.0,6.0
ทองหล่อ,4500000,2010.0,10.0,1,1,35.0,1650.0,6.0
สวนหลวง,2000000,2019.0,7.0,1,1,23.0,340.0,10.0
ทองหล่อ,13999000,2009.0,17.0,2,2,69.0,260.0,10.0
พร้อมพงษ์,17100000,2009.0,21.0,2,3,108.0,750.0,10.0
สวนจตุจักร,4350000,2019.0,8.0,2,2,48.62,760.0,7.0
บางกะปิ,7000000,2015.0,43.0,1,1,68.0,1210.0,9.0
บางนาเหนือ,7500000,1993.0,8.0,3,2,90.0,820.0,10.0
พร้อมพงษ์,13000000,2018.0,16.0,2,1,43.42,370.0,7.0
มักกะสัน,7500000,2013.0,21.0,1,1,49.0,260.0,10.0
ทองหล่อ,5000000,2008.0,8.0,1,1,45.0,1350.0,8.0
ประดิพัทธ์,5616000,2013.0,12.0,1,1,42.61,290.0,7.0
พร้อมพงษ์,13000000,2018.0,16.0,2,1,43.42,370.0,7.0
มักกะสัน,5300000,2012.0,22.0,1,1,48.0,570.0,10.0
พร้อมพงษ์,15000000,1993.0,12.0,2,2,143.0,540.0,7.0
เสนานิคม,2300000,2010.0,11.0,1,1,35.0,460.0,9.0
บ้านช่างหล่อ,3000000,2014.0,3.0,1,1,30.0,900.0,10.0
ราชพฤกษ์,2390000,2017.0,3.0,1,1,30.42,570.0,8.0
เอกมัย,15500000,2011.0,23.0,2,2,88.52,260.0,6.0
พร้อมพงษ์,7200000,2010.0,18.0,1,1,52.0,500.0,6.0
บางโคล่,5100000,2017.0,7.0,2,2,57.0,1990.0,9.0
ราชพฤกษ์,5350000,2015.0,7.0,2,2,63.0,460.0,8.0
พร้อมพงษ์,10900000,2012.0,15.0,1,1,56.0,270.0,6.0
จันทรเกษม,3500000,2009.0,16.0,1,1,41.0,710.0,6.0
พญาไท,7990000,2018.0,24.0,1,1,35.0,190.0,6.0
พร้อมพงษ์,7500000,2009.0,16.0,1,1,51.45,330.0,7.0
เสนานิคม,2650000,2016.0,6.0,1,1,37.51,710.0,8.0
ทองหล่อ,9000000,2008.0,8.0,2,2,70.0,1340.0,8.0
สุขุมวิท,6400000,2017.0,11.0,1,1,35.0,1160.0,10.0
สุขุมวิท,16500000,2014.0,14.0,2,2,83.0,180.0,10.0
พระโขนงใต้,3900000,2012.0,7.0,1,1,45.0,290.0,6.0
ตลาดพลู,3650000,2022.0,19.0,1,1,39.0,400.0,10.0
พระราม 9,2500000,2014.0,4.0,1,1,25.25,390.0,6.0
ทองหล่อ,14000000,2014.0,21.0,1,1,56.0,680.0,10.0
แบริ่ง,2600000,2021.0,8.0,1,1,30.0,460.0,8.0
ดินแดง,2300000,2013.0,22.0,1,1,27.0,1110.0,7.0
บางจาก,2100000,2015.0,13.0,1,1,30.4,270.0,7.0
พร้อมพงษ์,29848000,2020.0,4.0,2,1,100.0,400.0,9.0
ลาซาล,2290000,2019.0,5.0,1,1,26.0,490.0,10.0
ห้วยขวาง,6600000,2018.0,18.0,1,1,36.0,20.0,9.0
เอกมัย,16500000,2018.0,16.0,2,2,71.0,330.0,10.0
เพลินจิต,12900000,2017.0,26.0,1,1,44.0,120.0,10.0
สุขุมวิท,5400000,2012.0,4.0,1,1,43.0,590.0,6.0
ห้วยขวาง,3900000,2011.0,14.0,1,1,35.0,80.0,6.0
คลองต้นไทร,22000000,2013.0,20.0,3,4,164.0,460.0,7.0
บางจาก,2740000,2019.0,6.0,1,1,29.0,660.0,8.0
ราชพฤกษ์,2900000,2017.0,12.0,1,1,30.0,570.0,8.0
บางนาเหนือ,5200000,2017.0,8.0,2,2,53.0,540.0,8.0
สุขุมวิท,5500000,2016.0,6.0,1,1,35.3,220.0,9.0
พร้อมพงษ์,8200000,2009.0,21.0,1,1,48.0,750.0,10.0
บางนาเหนือ,3750000,2010.0,11.0,1,1,36.0,100.0,9.0
พร้อมพงษ์,10900000,2013.0,18.0,1,1,43.0,200.0,8.0
พร้อมพงษ์,10700000,2007.0,17.0,1,1,60.0,530.0,9.0
พร้อมพงษ์,8600000,2016.0,4.0,1,1,45.0,580.0,9.0
เอกมัย,13850000,2018.0,16.0,2,2,70.0,330.0,10.0
พร้อมพงษ์,30000000,2007.0,16.0,3,3,150.0,290.0,7.0
ทองหล่อ,8500000,2010.0,12.0,1,1,44.0,1550.0,9.0
หัวหมาก,2200000,2014.0,23.0,1,1,26.0,820.0,7.0
ทุ่งมหาเมฆ,18150000,2009.0,8.0,2,2,93.0,540.0,10.0
พร้อมพงษ์,14800000,2014.0,23.0,2,2,65.0,650.0,10.0
พร้อมพงษ์,18000000,2009.0,8.0,3,2,160.0,490.0,6.0
สุขุมวิท,6200000,2014.0,8.0,1,1,31.0,190.0,8.0
เพลินจิต,6750000,2020.0,22.0,1,1,35.0,540.0,8.0
พร้อมพงษ์,8990000,2013.0,18.0,1,1,43.0,200.0,8.0
นานา,23500000,2007.0,14.0,3,3,165.0,660.0,8.0
พร้อมพงษ์,11500000,2012.0,6.0,1,1,70.0,700.0,5.0
มักกะสัน,10250000,2013.0,36.0,2,2,85.9,260.0,10.0
พร้อมพงษ์,15000000,2018.0,26.0,2,2,57.1,660.0,9.0
ทองหล่อ,16400000,2009.0,7.0,2,1,140.0,1500.0,6.0
จอมพล,7900000,2020.0,21.0,2,1,51.5,100.0,10.0
ราชพฤกษ์,2500000,2013.0,19.0,1,1,35.06,500.0,9.0
พระโขนงเหนือ,4519100,2020.0,24.0,1,1,26.5,530.0,10.0
อนุสาวรีย์ชัยสมรภูมิ,10720000,2019.0,16.0,2,2,58.0,490.0,8.0
ทองหล่อ,9500000,2009.0,17.0,1,1,51.0,260.0,10.0
ทองหล่อ,16300000,2017.0,8.0,2,2,78.0,290.0,10.0
พร้อมพงษ์,11800000,2014.0,11.0,2,2,59.0,530.0,9.0
พร้อมพงษ์,12000000,2018.0,5.0,2,1,60.0,660.0,9.0
วงศ์สว่าง,4590000,2010.0,11.0,2,2,65.0,750.0,8.0
สวนหลวง,2300000,2015.0,13.0,1,1,26.6,370.0,7.0
พร้อมพงษ์,7500000,2014.0,23.0,1,1,31.0,650.0,10.0
บางลำภูล่าง,20500000,2014.0,19.0,3,3,167.0,950.0,7.0
บุคคโล,2900000,2017.0,26.0,1,1,30.62,370.0,6.0
พร้อมพงษ์,4800000,2018.0,8.0,1,1,28.0,460.0,9.0
ทองหล่อ,15000000,2010.0,5.0,1,1,85.0,1650.0,5.0
สวนหลวง,2300000,1994.0,6.0,1,1,82.0,2330.0,6.0
วงศ์สว่าง,2500000,2016.0,25.0,1,1,26.12,140.0,5.0
สุขุมวิท,8730000,2020.0,9.0,2,1,50.76,290.0,6.0
พร้อมพงษ์,12050000,2011.0,11.0,1,1,56.57,530.0,10.0
พร้อมพงษ์,9202000,2013.0,18.0,1,1,35.0,200.0,8.0
พร้อมพงษ์,18500000,2009.0,27.0,2,3,128.0,780.0,6.0
พร้อมพงษ์,12200000,2017.0,11.0,1,1,54.0,530.0,10.0
พร้อมพงษ์,25500000,1993.0,12.0,3,3,290.0,540.0,7.0
สุขุมวิท,8400000,2018.0,8.0,1,1,35.0,440.0,7.0
พร้อมพงษ์,12200000,2017.0,11.0,1,1,54.0,530.0,10.0
พร้อมพงษ์,17100000,2017.0,11.0,2,2,100.0,530.0,10.0
เพชรรามา,6500000,2015.0,31.0,1,1,29.5,260.0,5.0
บุคคโล,2350000,2015.0,27.0,1,1,22.5,470.0,10.0
บุคคโล,2350000,2015.0,27.0,1,1,22.5,470.0,10.0
ประดิพัทธ์,7200000,2008.0,10.0,2,2,65.43,540.0,8.0
ประชาชื่น,2490000,2014.0,19.0,1,1,30.0,770.0,8.0
ทองหล่อ,15450000,2019.0,4.0,2,2,59.0,740.0,10.0
พร้อมพงษ์,9600000,2017.0,11.0,2,2,47.0,530.0,10.0
ถนนนราธิวาสราชนครินทร์,3700000,2019.0,21.0,1,1,24.75,870.0,9.0
พระราม 9,5700000,2016.0,10.0,1,1,41.5,380.0,10.0
พร้อมพงษ์,12500000,2009.0,27.0,1,1,65.0,780.0,6.0
พระโขนงใต้,10787742,2019.0,20.0,2,2,57.0,450.0,9.0
พร้อมพงษ์,5700000,2012.0,3.0,1,1,49.0,1060.0,5.0
จอมพล,6800000,2018.0,8.0,1,1,35.0,460.0,10.0
ทองหล่อ,12500000,2013.0,5.0,2,2,90.0,140.0,6.0
พร้อมพงษ์,3600000,2014.0,4.0,1,1,37.49,350.0,5.0
หลังสวน,23000000,2010.0,16.0,2,2,92.0,350.0,9.0
อโศก,7900000,2017.0,25.0,1,1,32.0,70.0,10.0
สุขุมวิท,6400000,2019.0,4.0,1,1,35.0,460.0,3.0
พร้อมพงษ์,37000000,2012.0,8.0,3,3,189.0,700.0,5.0
จอมพล,2990000,2017.0,8.0,1,1,28.0,880.0,10.0
บางกะปิ,14500000,2014.0,19.0,2,2,85.0,230.0,7.0
พร้อมพงษ์,11500000,2012.0,8.0,1,1,56.0,270.0,8.0
สุขุมวิท,13000000,2013.0,8.0,2,2,107.0,480.0,3.0
พร้อมพงษ์,11500000,2011.0,14.0,1,1,56.0,530.0,8.0
เสนานิคม,2970000,2019.0,1.0,1,1,34.5,690.0,7.0
พระโขนงใต้,3900000,2009.0,3.0,1,1,49.0,300.0,6.0
ห้วยขวาง,4100000,2019.0,5.0,1,1,30.0,1010.0,10.0
พร้อมพงษ์,9859000,2017.0,11.0,2,1,47.0,530.0,10.0
พร้อมพงษ์,25500000,2012.0,16.0,2,2,97.0,400.0,8.0
ยานนาวา,5300000,2014.0,10.0,1,1,34.1,580.0,5.0
พร้อมพงษ์,27000000,2010.0,18.0,3,3,137.0,500.0,4.0
พร้อมพงษ์,20000000,2019.0,11.0,2,2,74.0,100.0,10.0
พร้อมพงษ์,9859000,2017.0,11.0,2,1,47.0,530.0,10.0
พญาไท,6430000,2021.0,8.0,1,1,25.4,320.0,10.0
มักกะสัน,7500000,2015.0,16.0,1,1,47.0,560.0,7.0
สีลม,6000000,2013.0,4.0,1,1,40.64,290.0,7.0
บางค้อ,2000000,2016.0,11.0,1,1,26.0,490.0,10.0
พระโขนงใต้,2300000,2012.0,4.0,1,1,31.47,290.0,7.0
ปิ่นเกล้า,2173000,2018.0,6.0,1,1,26.0,600.0,10.0
ลาดพร้าว,2050000,2016.0,8.0,1,1,25.97,2200.0,10.0
บางกะปิ,6800000,2017.0,7.0,2,2,59.0,1820.0,7.0
สะพานสอง,2100000,2010.0,15.0,1,1,28.0,2050.0,10.0
เพชรรามา,5900000,2014.0,18.0,1,1,34.0,360.0,9.0
สะพานสอง,2100000,2010.0,15.0,1,1,28.0,2050.0,10.0
สวนหลวง,5590000,2019.0,31.0,2,2,56.0,260.0,9.0
สุขุมวิท,7690000,2015.0,37.0,1,1,52.0,250.0,7.0
พร้อมพงษ์,14000000,2014.0,23.0,2,2,54.0,650.0,10.0
ทองหล่อ,25300000,2009.0,17.0,3,3,100.0,260.0,8.0
บางซ่อน,2100000,2017.0,23.0,1,1,32.0,430.0,8.0
ทองหล่อ,4200000,2009.0,18.0,1,1,40.0,350.0,5.0
พระโขนงเหนือ,2912000,2015.0,18.0,1,1,25.8,820.0,8.0
ดินแดง,4750000,2014.0,4.0,1,1,40.36,260.0,5.0
พร้อมพงษ์,23000000,2009.0,21.0,2,3,132.0,750.0,10.0
พร้อมพงษ์,15015000,2019.0,17.0,2,2,76.0,100.0,10.0
อโศก,6900000,2018.0,26.0,1,1,35.61,360.0,8.0
วัดท่าพระ,2750000,2018.0,9.0,1,1,28.0,200.0,8.0
พร้อมพงษ์,4000000,2014.0,3.0,1,1,36.0,510.0,5.0
บางจาก,2480000,2017.0,8.0,1,1,28.0,710.0,9.0
ทองหล่อ,9900000,2013.0,17.0,1,1,53.0,140.0,8.0
สุขุมวิท,17500000,1997.0,14.0,2,2,135.0,620.0,9.0
บางนาเหนือ,5500000,2012.0,20.0,1,1,43.0,300.0,8.0
บางจาก,2450000,2013.0,2.0,1,1,36.34,260.0,7.0
บางซื่อ,3867000,2021.0,15.0,2,1,34.5,630.0,10.0
เพชรรามา,5981300,2015.0,19.0,1,1,34.0,260.0,5.0
บางจาก,4200000,2020.0,9.0,1,1,27.5,180.0,10.0
มักกะสัน,10500000,2013.0,8.0,1,1,80.0,260.0,10.0
พร้อมพงษ์,40300000,2012.0,18.0,3,3,179.0,700.0,7.0
พร้อมพงษ์,28900000,2012.0,20.0,3,3,145.0,530.0,9.0
สามย่าน,18000000,2018.0,45.0,2,2,63.0,150.0,5.0
ทุ่งมหาเมฆ,42900000,2012.0,21.0,2,2,141.0,680.0,4.0
พระโขนงใต้,4400000,2017.0,8.0,1,1,40.0,530.0,5.0
หัวหมาก,2450000,2012.0,3.0,1,1,28.0,1110.0,9.0
พร้อมพงษ์,25300000,2015.0,16.0,2,2,82.0,240.0,6.0
พร้อมพงษ์,16500000,2019.0,16.0,1,1,57.0,140.0,9.0
ห้วยขวาง,4640000,2018.0,22.0,1,1,29.21,20.0,7.0
ดินแดง,3300000,2015.0,4.0,1,1,34.0,430.0,9.0
ทองหล่อ,5200000,2008.0,3.0,1,1,45.0,1340.0,6.0
พระโขนงเหนือ,10790000,2017.0,2.0,2,2,68.0,1020.0,7.0
พร้อมพงษ์,12215000,2018.0,26.0,2,2,55.0,660.0,10.0
พร้อมพงษ์,29000000,2010.0,18.0,3,3,152.0,500.0,6.0
ทุ่งมหาเมฆ,4900000,2015.0,5.0,1,1,35.0,1780.0,7.0
ห้วยขวาง,4000000,2019.0,16.0,1,1,29.81,1010.0,10.0
บางจาก,2000000,2015.0,9.0,1,1,28.0,270.0,7.0
พร้อมพงษ์,15630000,2013.0,34.0,2,2,62.5,200.0,6.0
จอมพล,4200000,2018.0,3.0,1,1,33.0,470.0,8.0
รัชโยธิน,4990000,2020.0,19.0,2,2,33.0,100.0,8.0
ทองหล่อ,11599000,2017.0,6.0,2,2,55.0,350.0,10.0
บางโคล่,3900000,2017.0,29.0,1,1,33.0,1990.0,8.0
พระโขนงใต้,6150000,2010.0,8.0,2,2,63.4,370.0,6.0
บางจาก,12500000,2018.0,39.0,3,2,81.3,430.0,9.0
ทองหล่อ,4500000,2017.0,18.0,1,1,25.0,350.0,10.0
จอมพล,2090000,2021.0,4.0,1,1,24.5,1100.0,6.0
สุรวงศ์,20000000,2012.0,23.0,2,2,88.0,470.0,6.0
ทองหล่อ,4500000,2017.0,18.0,1,1,25.0,350.0,10.0
พร้อมพงษ์,13900000,2018.0,26.0,2,2,56.0,660.0,10.0
ทองหล่อ,13700000,2017.0,8.0,2,2,78.0,290.0,10.0
สีลม,8300000,2013.0,34.0,1,1,46.5,430.0,4.0
ทองหล่อ,4190000,2017.0,20.0,1,1,24.13,350.0,10.0
จอมพล,3290000,2012.0,8.0,2,1,58.0,1110.0,4.0
บางบำหรุ,4500000,2011.0,15.0,2,2,65.17,1130.0,8.0
สุรศักดิ์,8000000,2016.0,16.0,1,1,46.78,420.0,4.0
ทองหล่อ,19500000,2012.0,18.0,2,2,84.0,520.0,7.0
บางลำภูล่าง,23500000,2016.0,26.0,3,3,167.0,1170.0,10.0
จอมพล,5500000,2013.0,8.0,2,1,69.07,320.0,6.0
ลาดยาว,3350000,2018.0,7.0,2,1,30.0,1650.0,10.0
บางกะปิ,5500000,2014.0,25.0,1,1,34.0,230.0,7.0
บางนาเหนือ,3500000,2017.0,20.0,1,1,32.74,540.0,8.0
จอมพล,7690000,2018.0,8.0,1,1,40.68,460.0,10.0
ทองหล่อ,19900000,2020.0,7.0,1,1,53.5,1050.0,10.0
พร้อมพงษ์,45000000,2009.0,35.0,3,4,170.0,750.0,10.0
ทองหล่อ,4700000,2017.0,11.0,1,1,24.0,350.0,10.0
บางลำภูล่าง,8000000,2014.0,19.0,2,2,91.55,950.0,5.0
ทุ่งมหาเมฆ,38000000,2009.0,63.0,3,3,193.0,540.0,10.0
บางจาก,2225000,2011.0,6.0,1,1,41.0,180.0,4.0
ทุ่งมหาเมฆ,38000000,2009.0,63.0,3,3,193.0,540.0,10.0
ทองหล่อ,11555555,2017.0,11.0,2,2,56.0,350.0,10.0
ยานนาวา,12500000,2015.0,34.0,2,2,67.0,330.0,9.0
ห้วยขวาง,4430000,2019.0,2.0,1,1,36.03,1010.0,10.0
รามคำแหง,3030000,2019.0,7.0,1,1,31.34,950.0,8.0
บางนาเหนือ,2890000,2017.0,4.0,1,1,28.0,400.0,8.0
แยกบางโพ,13000000,2017.0,6.0,2,2,86.0,180.0,5.0
ห้วยขวาง,2000000,2011.0,5.0,1,1,32.5,980.0,8.0
พระโขนงใต้,5000000,2013.0,7.0,1,1,35.0,200.0,7.0
ทุ่งวัดดอน,5600000,2016.0,22.0,1,1,35.0,1460.0,8.0
ถนนนราธิวาสราชนครินทร์,8000000,2016.0,39.0,1,1,43.0,740.0,9.0
ปิ่นเกล้า,2300000,2018.0,4.0,1,1,25.38,600.0,10.0
รามคำแหง,5300000,2019.0,23.0,1,1,51.0,950.0,8.0
พร้อมพงษ์,6500000,2020.0,8.0,1,1,28.0,610.0,10.0
ลาดยาว,2990000,2014.0,8.0,1,1,29.03,260.0,8.0
บางกะปิ,2470000,2015.0,12.0,1,1,30.08,1280.0,8.0
บางลำภูล่าง,7800000,2009.0,25.0,2,2,89.0,1170.0,10.0
ห้วยขวาง,2150000,2019.0,4.0,1,1,23.3,1010.0,10.0
บางกะปิ,3400000,2015.0,14.0,1,1,38.0,1150.0,8.0
สุขุมวิท,6600000,2013.0,5.0,1,1,44.0,390.0,5.0
สุขุมวิท,6900000,2015.0,8.0,1,1,55.0,250.0,7.0
พระราม 9,8000000,2016.0,16.0,2,1,42.0,380.0,10.0
ช่องนนทรี,2500000,2015.0,7.0,1,1,22.0,620.0,6.0
พระโขนงเหนือ,2900000,2013.0,17.0,1,1,31.0,870.0,10.0
พร้อมพงษ์,6240000,2018.0,8.0,1,1,28.0,660.0,9.0
ลุมพินี,22000000,2015.0,30.0,2,2,93.0,330.0,3.0
ราชพฤกษ์,2350000,2017.0,5.0,1,1,30.0,570.0,9.0
บางจาก,6370000,2020.0,35.0,1,1,42.5,180.0,10.0
พระราม 9,7200000,2014.0,28.0,1,1,43.28,220.0,10.0
เพลินจิต,15000000,2017.0,30.0,1,1,55.9,120.0,10.0
ห้วยขวาง,3340000,2016.0,13.0,1,1,27.0,160.0,7.0
บางจาก,2260000,2013.0,2.0,1,1,32.0,260.0,7.0
สวนจตุจักร,3300000,2012.0,28.0,1,1,45.0,790.0,6.0
บ้านครัว,9200000,2015.0,3.0,1,1,44.49,340.0,5.0
พระโขนงใต้,2180000,2012.0,6.0,1,1,30.8,290.0,6.0
เสนานิคม,3300000,2019.0,2.0,1,1,34.0,680.0,7.0
บางจาก,3990000,2013.0,16.0,2,1,67.26,730.0,7.0
พร้อมพงษ์,20000000,1994.0,13.0,3,3,350.0,1260.0,7.0
ทองหล่อ,5880000,2017.0,8.0,1,1,33.0,350.0,10.0
พร้อมพงษ์,19900000,2015.0,6.0,3,2,121.72,1100.0,9.0
บางจาก,1990000,2014.0,4.0,1,1,35.0,1640.0,5.0
ทองหล่อ,21500000,2014.0,15.0,2,2,79.0,700.0,5.0
พร้อมพงษ์,12000000,2010.0,25.0,1,1,56.5,170.0,5.0
พระราม 9,4420000,2020.0,41.0,1,1,32.0,360.0,9.0
วงศ์สว่าง,4250000,2016.0,5.0,2,1,45.0,140.0,5.0
พระราม 9,2600000,2012.0,20.0,1,1,34.75,230.0,6.0
บางหว้า,3780000,2012.0,6.0,2,1,46.0,530.0,6.0
พระราม 9,3500000,2014.0,20.0,1,1,33.0,390.0,6.0
พร้อมพงษ์,4300000,2011.0,4.0,1,1,37.0,300.0,7.0
พร้อมพงษ์,6500000,2012.0,8.0,1,1,47.0,540.0,7.0
ดินแดง,2400000,2011.0,4.0,1,1,30.0,630.0,7.0
ปิ่นเกล้า,2500000,2009.0,18.0,1,1,35.0,540.0,9.0
สุรวงศ์,7000000,2016.0,14.0,1,1,31.98,400.0,10.0
บางนาเหนือ,3800000,2015.0,12.0,1,1,30.0,610.0,9.0
สวนหลวง,2300000,2013.0,10.0,1,1,35.49,890.0,5.0
ยานนาวา,31000000,2015.0,10.0,1,1,104.0,860.0,6.0
บางนาเหนือ,3800000,2015.0,12.0,1,1,30.0,610.0,9.0
บางจาก,4900000,2018.0,12.0,1,1,35.0,180.0,8.0
ดินแดง,4849200,2015.0,5.0,1,1,45.0,440.0,6.0
พระราม 9,3500000,2016.0,18.0,1,1,22.0,380.0,10.0
ประชาชื่น,2450000,2014.0,19.0,1,1,30.0,770.0,8.0
ห้วยขวาง,2999000,2015.0,14.0,1,1,25.27,260.0,9.0
ทองหล่อ,18000000,2014.0,19.0,2,2,75.0,680.0,5.0
วัดท่าพระ,3490000,2018.0,6.0,1,1,34.64,200.0,8.0
สามเสนนอก,2300000,2008.0,5.0,1,1,30.0,220.0,7.0
พร้อมพงษ์,6250000,2014.0,24.0,1,1,31.0,650.0,10.0
มักกะสัน,11000000,2015.0,8.0,1,1,45.0,560.0,7.0
พระโขนงใต้,4200000,2017.0,27.0,1,1,31.0,530.0,5.0
จอมพล,6200000,2013.0,8.0,2,1,60.0,350.0,7.0
บางค้อ,6300000,2015.0,17.0,2,2,68.0,130.0,9.0
ลาซาล,2050000,2019.0,8.0,1,1,26.5,490.0,10.0
บางจาก,4680000,2018.0,14.0,1,1,35.0,180.0,8.0
ห้วยขวาง,3250000,2010.0,15.0,1,1,37.11,660.0,10.0
พร้อมพงษ์,16500000,2012.0,17.0,2,2,70.22,400.0,7.0
ทองหล่อ,23900000,2009.0,32.0,3,3,113.0,260.0,8.0
เพชรรามา,6500000,2017.0,26.0,1,1,34.0,340.0,10.0
บางจากภาษีเจริญ,2200000,2009.0,7.0,1,1,35.0,290.0,7.0
ทองหล่อ,12500000,2012.0,11.0,1,1,55.0,520.0,5.0
ทุ่งมหาเมฆ,17750000,2009.0,8.0,2,2,93.0,530.0,10.0
อโศก,18600000,2018.0,20.0,2,2,86.0,360.0,8.0
พร้อมพงษ์,22000000,2010.0,11.0,3,3,138.0,500.0,4.0
พร้อมพงษ์,15200000,2007.0,11.0,2,2,91.0,530.0,7.0
สีลม,22000000,2001.0,8.0,2,2,199.0,490.0,5.0
พระโขนงใต้,4200000,2017.0,27.0,1,1,31.0,530.0,5.0
บางจาก,2390000,2019.0,5.0,1,1,29.0,660.0,6.0
