Sub_Area,price_list,built_year_list,floor_list,bedroom_list,bathroom_list,area_list,distance_to_transport_list,facilities_list
จันทรเกษม,3200000,2014.0,2.0,1,1,49.5,600.0,6.0
พร้อมพงษ์,20900000,2013.0,26.0,2,2,76.0,190.0,7.0
ห้วยขวาง,6590000,2014.0,19.0,1,1,44.0,380.0,10.0
บางจากภาษีเจริญ,3289000,2019.0,8.0,1,1,27.0,250.0,8.0
ลุมพินี,24000000,2014.0,40.0,2,2,86.0,330.0,5.0
ปิ่นเกล้า,2390000,2018.0,3.0,1,1,26.0,600.0,10.0
สุขุมวิท,4200000,2019.0,15.0,1,1,30.45,1170.0,10.0
กรุงธนบุรี,3890000,2014.0,12.0,1,1,27.1,80.0,9.0
บางค้อ,2990000,2015.0,17.0,1,1,33.0,130.0,10.0
ถนนนราธิวาสราชนครินทร์,7100000,2019.0,40.0,1,1,37.28,870.0,9.0
สำเหร่,3200000,2013.0,14.0,1,1,38.0,1520.0,10.0
ถนนนราธิวาสราชนครินทร์,7100000,2019.0,40.0,1,1,37.28,870.0,9.0
ลาซาล,2250000,2019.0,5.0,1,1,25.0,490.0,10.0
พระโขนงเหนือ,3400000,2015.0,19.0,1,1,31.0,870.0,6.0
ราชพฤกษ์,2590000,2017.0,30.0,1,1,30.0,570.0,8.0
พร้อมพงษ์,27291000,2010.0,32.0,3,4,152.0,500.0,7.0
ทองหล่อ,4800000,2011.0,8.0,1,1,40.0,1300.0,10.0
ดาวคะนอง,2195000,2014.0,22.0,1,1,26.55,90.0,6.0
ห้วยขวาง,2690000,2019.0,14.0,1,1,23.5,1010.0,10.0
สามย่าน,6290000,2018.0,29.0,1,1,24.5,150.0,5.0
บางคอแหลม,8000000,2004.0,17.0,2,2,102.0,2070.0,10.0
จันทรเกษม,5361000,2009.0,16.0,2,1,62.0,710.0,6.0
พระราม 9,3290000,2014.0,9.0,1,1,39.0,390.0,8.0
ทองหล่อ,7800000,2010.0,11.0,1,1,53.0,1650.0,5.0
บางกะปิ,30000000,2015.0,6.0,3,4,200.0,1410.0,4.0
พร้อมพงษ์,5190000,2020.0,18.0,1,1,27.0,610.0,10.0
บางยี่ขัน,4000000,2018.0,5.0,2,1,43.0,40.0,10.0
ทุ่งมหาเมฆ,17000000,2009.0,20.0,2,2,93.0,540.0,10.0
คลองสาน,5250000,2021.0,8.0,1,1,51.5,1130.0,10.0
ทุ่งมหาเมฆ,49000000,2013.0,27.0,4,5,228.0,1900.0,6.0
เตาปูน,7200000,2020.0,9.0,2,1,49.0,120.0,10.0
สุขุมวิท,25750000,2020.0,28.0,3,2,92.0,1200.0,9.0
พระโขนงใต้,6200000,2013.0,9.0,1,1,45.0,200.0,7.0
บางกะปิ,3390000,2022.0,32.0,1,1,29.0,1950.0,10.0
บางหว้า,2580000,2017.0,5.0,1,1,27.0,420.0,10.0
พร้อมพงษ์,6500000,2013.0,20.0,1,1,35.0,190.0,7.0
พระราม 4,10000000,2013.0,16.0,1,1,64.0,290.0,11.0
สามเสนนอก,2190000,2019.0,8.0,1,1,30.21,1570.0,5.0
จอมพล,5700000,2018.0,10.0,1,1,35.0,460.0,10.0
สะพานตากสิน,36200000,2012.0,16.0,3,4,186.0,510.0,10.0
จอมพล,9090000,2020.0,23.0,2,2,65.78,100.0,10.0
จอมพล,2900000,2017.0,8.0,1,1,30.0,460.0,9.0
ตลาดพลู,7200000,2021.0,33.0,2,1,57.0,250.0,10.0
พร้อมพงษ์,13000000,1997.0,11.0,3,3,150.0,320.0,5.0
จอมพล,9090000,2020.0,23.0,2,2,65.78,100.0,10.0
แบริ่ง,2590000,2014.0,7.0,1,1,33.76,420.0,5.0
ลาดยาว,3000000,2013.0,12.0,1,1,49.5,880.0,7.0
สุขุมวิท,4500000,2009.0,16.0,1,1,30.1,330.0,10.0
บางหว้า,2450000,2017.0,25.0,1,1,26.07,420.0,10.0
ทองหล่อ,5290000,2009.0,20.0,1,1,37.0,350.0,5.0
สุรศักดิ์,9000000,2014.0,25.0,2,1,53.0,90.0,2.0
วัดท่าพระ,6800000,2018.0,21.0,2,2,71.0,200.0,8.0
ห้วยขวาง,2200000,2019.0,4.0,1,1,22.57,1010.0,10.0
สุขุมวิท,5800000,2012.0,3.0,1,1,35.0,120.0,5.0
พระโขนงใต้,4480000,2017.0,6.0,2,1,39.0,530.0,5.0
สวนหลวง,2890000,2019.0,21.0,1,1,30.8,260.0,9.0
บางจาก,2990000,2015.0,4.0,1,1,32.62,70.0,8.0
สะพานควาย,3600000,2010.0,7.0,1,1,31.0,160.0,5.0
สุทธิสาร,4200000,2009.0,6.0,1,1,42.0,670.0,10.0
วงศ์สว่าง,3390000,2018.0,11.0,1,1,32.16,130.0,10.0
สามย่าน,8900000,2018.0,36.0,1,1,34.5,150.0,9.0
จันทรเกษม,2950000,2018.0,8.0,1,1,25.54,1760.0,9.0
สามเสนนอก,4200000,2011.0,29.0,1,1,45.5,170.0,6.0
ลาซาล,2000000,2019.0,4.0,1,1,26.0,490.0,10.0
สุขุมวิท,5700000,2011.0,20.0,1,1,52.0,220.0,10.0
จอมพล,2050000,2014.0,6.0,1,1,23.36,320.0,7.0
กรุงเทพกรีฑา,2390000,2009.0,6.0,1,1,45.5,680.0,6.0
สุขุมวิท,3900000,2011.0,22.0,1,1,32.64,220.0,10.0
พระราม 9,4290000,2014.0,11.0,1,1,26.5,220.0,10.0
บางกะปิ,2290000,2015.0,11.0,1,1,26.4,1280.0,12.0
พระโขนงเหนือ,2650000,2015.0,6.0,1,1,26.24,870.0,6.0
วงศ์สว่าง,2500000,2015.0,33.0,1,1,30.0,200.0,6.0
ปากคลองภาษีเจริญ,3999999,2016.0,12.0,2,1,51.0,220.0,8.0
ท่าอากาศยานสุวรรณภูมิ,2000000,2013.0,6.0,1,1,30.18,1230.0,7.0
จันทรเกษม,2690000,2016.0,3.0,1,1,28.0,340.0,6.0
ท่าอากาศยานสุวรรณภูมิ,2000000,2016.0,4.0,2,2,43.0,1100.0,10.0
สวนหลวง,2200000,2013.0,11.0,1,1,35.0,890.0,5.0
บางอ้อ,2000000,2009.0,2.0,1,1,42.5,610.0,8.0
สุขุมวิท,6530000,2016.0,32.0,1,1,35.0,220.0,8.0
สุรศักดิ์,14500000,2020.0,17.0,2,1,70.0,440.0,10.0
สุขุมวิท,5500000,2013.0,6.0,1,1,35.31,1270.0,5.0
ทองหล่อ,9785000,2009.0,31.0,1,1,55.0,260.0,10.0
สวนหลวง,2490000,2016.0,10.0,1,1,31.0,720.0,6.0
พร้อมพงษ์,2700000,2011.0,10.0,1,1,28.0,300.0,7.0
พระโขนงเหนือ,7500000,2011.0,25.0,2,2,61.0,530.0,7.0
ห้วยขวาง,3300000,2016.0,10.0,1,1,28.0,140.0,7.0
จอมพล,3290000,2019.0,16.0,1,1,29.0,750.0,10.0
สวนหลวง,4200000,2020.0,4.0,2,1,44.93,1560.0,7.0
บางซ่อน,2950000,2017.0,20.0,1,1,43.25,430.0,8.0
จันทรเกษม,2150000,2014.0,2.0,1,1,32.0,600.0,3.0
ราชปรารภ,4100000,2012.0,24.0,1,1,38.0,80.0,5.0
พร้อมพงษ์,44500000,2017.0,21.0,2,2,127.0,150.0,10.0
สะพานตากสิน,9590000,2012.0,14.0,1,1,63.0,450.0,6.0
เพชรรามา,10500000,2015.0,27.0,2,2,60.0,260.0,9.0
เพชรรามา,10500000,2015.0,27.0,2,2,60.0,260.0,9.0
จอมพล,3000000,2019.0,20.0,1,1,28.5,750.0,10.0
กรุงธนบุรี,4200000,2010.0,14.0,1,1,36.13,110.0,5.0
พระราม 9,6700000,2015.0,14.0,1,1,48.3,510.0,9.0
พระโขนงใต้,4500000,2017.0,19.0,1,1,36.0,530.0,5.0
ห้วยขวาง,2250000,2019.0,17.0,1,1,22.59,1010.0,10.0
พระโขนงใต้,3450000,2014.0,3.0,2,1,36.12,520.0,10.0
บางขุนศรี,3850000,2019.0,23.0,1,1,47.0,350.0,10.0
พระราม 9,5790000,2018.0,10.0,1,1,35.5,330.0,10.0
ถนนนราธิวาสราชนครินทร์,10900000,2016.0,14.0,1,1,66.0,740.0,9.0
ถนนนราธิวาสราชนครินทร์,6200000,2019.0,25.0,1,1,37.0,870.0,9.0
พร้อมพงษ์,13900000,2009.0,8.0,2,3,104.0,750.0,10.0
บ้านช่างหล่อ,6300000,2021.0,3.0,2,1,49.0,1240.0,8.0
วัดท่าพระ,2300000,2016.0,19.0,1,1,32.0,430.0,9.0
ทองหล่อ,4290000,2018.0,8.0,1,1,29.27,800.0,10.0
เสนานิคม,2300000,2019.0,3.0,1,1,31.8,680.0,7.0
พร้อมพงษ์,11000000,1999.0,21.0,3,2,120.0,570.0,5.0
จอมพล,8343000,2021.0,31.0,1,1,35.0,180.0,10.0
บางกะปิ,3050000,2015.0,4.0,1,1,38.0,1150.0,8.0
พระราม 9,4400000,2017.0,14.0,1,1,29.0,380.0,10.0
ลาดยาว,3900000,2016.0,8.0,1,1,39.69,1590.0,9.0
จอมพล,4300000,2017.0,12.0,1,1,30.09,880.0,10.0
คลองเตย,5220000,2013.0,8.0,1,1,43.55,410.0,6.0
พระโขนงเหนือ,6500000,2011.0,28.0,1,1,44.0,70.0,5.0
วงศ์สว่าง,4400000,2016.0,20.0,2,1,45.0,140.0,5.0
พร้อมพงษ์,14000000,2018.0,12.0,1,1,56.47,660.0,14.0
ลุมพินี,7206185,2015.0,5.0,1,1,33.6,280.0,7.0
พร้อมพงษ์,5000000,2013.0,9.0,1,1,40.0,400.0,5.0
ลาดยาว,3000000,2016.0,16.0,1,1,30.5,1590.0,9.0
วงศ์สว่าง,2700000,2018.0,20.0,1,1,32.0,130.0,10.0
ทองหล่อ,8000000,2009.0,17.0,2,2,66.17,350.0,5.0
ห้วยขวาง,6000000,2018.0,32.0,1,1,35.0,20.0,7.0
พระโขนงใต้,6900000,2014.0,11.0,2,2,64.0,520.0,10.0
บางซ่อน,3200000,2017.0,15.0,1,2,56.0,110.0,7.0
ราชพฤกษ์,6000000,2012.0,12.0,2,2,56.0,390.0,8.0
จอมพล,5500000,2012.0,8.0,2,1,78.0,540.0,8.0
พระโขนงใต้,2690000,2019.0,4.0,1,1,26.0,950.0,11.0
เอกมัย,17500000,2011.0,21.0,2,2,87.0,260.0,10.0
ทุ่งวัดดอน,4840000,2018.0,4.0,2,2,60.0,950.0,6.0
บางค้อ,2450000,2014.0,20.0,1,1,31.0,330.0,10.0
บางลำภูล่าง,4003074,2017.0,8.0,1,1,30.0,240.0,10.0
พร้อมพงษ์,9900000,2012.0,4.0,2,2,64.65,700.0,4.0
ห้วยขวาง,19440000,2014.0,26.0,2,2,80.0,380.0,7.0
ดินแดง,2000000,2010.0,5.0,1,1,35.0,550.0,7.0
สามย่าน,6390000,2012.0,22.0,1,1,43.0,370.0,8.0
จอมพล,3980000,2010.0,18.0,1,1,39.0,440.0,8.0
รามคำแหง,2888000,2022.0,15.0,1,1,35.0,780.0,10.0
บุคคโล,4850000,2011.0,21.0,1,1,46.0,320.0,7.0
สวนหลวง,2990000,2018.0,50.0,1,1,28.66,370.0,8.0
คลองสาน,7000000,1994.0,17.0,1,1,60.0,1000.0,10.0
สุขุมวิท,6400000,2013.0,11.0,1,1,45.0,80.0,6.0
สุขุมวิท,8700000,2015.0,19.0,1,1,52.5,250.0,7.0
พร้อมพงษ์,18500000,2017.0,4.0,2,3,93.0,1380.0,9.0
อารีย์,2970000,2011.0,4.0,1,1,35.75,860.0,5.0
สุขุมวิท,6500000,2008.0,11.0,1,1,54.0,1130.0,6.0
อโศก,5200000,2014.0,28.0,1,1,60.0,540.0,6.0
สุขุมวิท,6500000,2012.0,4.0,1,1,44.0,120.0,5.0
บางจาก,4300000,2018.0,15.0,1,1,30.0,430.0,10.0
บางจาก,4290000,2018.0,30.0,1,1,30.0,430.0,9.0
